name,altitude,latitude,longitude
Pui de les Ares,2611,42.632736,1.011367
Tuc del Muntanyó,2610,42.467358,0.885879
Cap de la Costa de Llats,2609,42.641628,1.372033
Cap de Canalets,2608,42.699142,1.295153
Tuc deth Pòrt de Vielha,2605,42.641891,0.76553
Tossal de la Costa,2604,42.41872,0.852001
Pic de Costa Cabirolera,2604,42.281505,1.670419
Pui del Cap de l'Estany,2603,42.717578,1.309242
Agulles de Travessani,2599,42.609079,0.887613
Pic de la Portella,2597,42.573651,1.261451
Tossal de les Tres Muntanyes,2596,42.442026,0.928824
la Muntanyeta,2594,42.467756,0.933899
Pic de Mariola,2594,42.720072,1.216637
Montarenyo de Boldís,2592,42.638017,1.307483
Pic de Soliguera,2592,42.680678,1.264901
el Salt del Sastre,2591,42.28241,1.66151
Puig de la Canal del Cristall,2588,42.283906,1.654699
Bony de l'Aigua Blanca,2586,42.459087,0.879359
el Balandrau,2585,42.370143,2.219565
Tuc de Montanèro,2585,42.648102,0.760806
Tuc des Neres,2584,42.65669,0.72003
Tuc de Bargadèra,2584,42.644258,0.812102
Roc Blanc,2583,42.462125,1.671882
Piquet de Guerossos,2583,42.704575,1.274296
Pic de Becero,2582,42.662524,1.334724
Puig de Fontlletera,2581,42.376844,2.235795
Penanera,2580,42.665162,0.684506
Torre del Trident,2577,42.434703,2.252831
la Covil,2572,42.281663,2.097545
lo Covil,2572,42.518633,1.356385
Tuc d'Auba,2571,42.673196,0.731361
Tuc del Caubo,2570,42.673246,1.263582
les Tuques,2569,42.713494,1.354646
Puig del Quer,2567,42.286351,1.651966
Gra de Fajol Petit,2566,42.413304,2.259599
Turó de Vialada,2565,42.653476,1.192336
Cim del Ras,2564,42.390798,2.180286
Tuc de Lac Redon,2563,42.641124,0.791
Torreta de Cadí,2562,42.287083,1.584198
Tuc de la Comamarja,2562,42.526437,0.878323
Pic d'Àtics,2556,42.699358,1.138972
Pic d'Estany Gémena,2553,42.575979,0.807777
lo Pilar,2551,42.586101,1.402142
Pic de la Gola,2549,42.682279,1.176684
Pic de l'Espada,2548,42.499215,0.971867
Cap de Montarenyo,2548,42.647226,1.308466
Comabona,2548,42.283688,1.726298
Roc d'Ausinsi,2545,42.647132,1.314275
Agulles de Dellui,2544,42.557622,0.944506
el Corronco,2543,42.462142,0.82849
el Castell dels Lladres,2542,42.477301,1.785677
Cap de l'Ovella,2541,42.559091,1.427986
Tuca de Salibarri,2541,42.706148,1.352349
Tuc de Pishader,2538,42.630548,0.947607
Tuc del Mont,2536,42.551244,0.805514
la Tosa,2536,41.855399,0.64061
Tuc dera Pincèla,2535,42.742881,0.875695
Tuc des Armèros,2533,42.781265,0.876901
Cap dera Aubeta,2532,42.646287,0.829779
l'Aüt,2531,42.541408,0.808708
Tuc de Saslòsses,2530,42.632195,0.900332
Pic de Comaminyana,2528,42.546783,0.796901
Eth Morret,2527,42.779467,0.915323
Tuc de Llebreta,2523,42.537912,0.894557
Tuc deth Dossau,2521,42.738442,0.996068
Roca Espana,2521,42.713886,1.216069
Puig de Font Tortera,2521,42.283306,1.719501
Pic d'Erill,2518,42.541087,0.800414
Tuc des Molassi,2518,42.644954,0.820262
Montlude,2517,42.785261,0.758715
Pic de Màniga,2517,42.505771,1.328863
Pic Salado,2512,42.506574,0.953689
Pic de Punturri,2510,42.709922,1.309743
Cap de Copiello,2508,42.563399,0.884892
Roca de l'Estany,2508,42.573684,0.99715
Pena de Fenerui,2507,42.563676,0.783333
Tuc Nere,2506,42.747826,0.859826
Pollegó Superior,2506,42.239945,1.702926
Roca Colom,2506,41.639622,2.019917
Puig de la Llosa,2504,42.423019,2.296474
l'Altar,2503,42.208106,1.498937
Pic del Turc,2502,42.664184,1.331824
Pujoalbo,2502,42.656374,0.839822
Cap de Llaveio,2501,42.566864,0.782391
Labada de Sarrahèra,2500,42.649817,0.795804
el Calderer,2500,42.239178,1.706783
la Torre de Guerossos,2500,42.706276,1.260488
Tuc de Roques Negres,2498,42.61082,0.857247
Turó des Plaus de Boldís,2496,42.638327,1.288923
Tuc de la Cigalera,2496,42.671432,0.994342
Puig de Coma Ermada,2495,42.282443,2.080105
Pedradreta,2494,42.470277,1.767955
lo Tossal,2493,41.368285,0.506763
Turó Punçó,2493,42.424575,1.600994
Tuca Blanca de Fontfreda,2493,42.644718,0.787299
Pic de la Plana,2492,42.661593,1.036668
Pic des Miques,2489,42.727773,1.072763
Roc de l'Estany Xic,2488,42.716859,1.230114
Tuc de Pomèro,2487,42.67502,0.68082
Tuca dera Aubeta,2487,42.647797,0.837241
Agulles del Mont,2486,42.548981,0.802097
Aguiló,2486,42.286302,1.716821
Tuc de Salana,2485,42.646904,0.908425
Tossal de la Sentella,2485,42.539617,0.805921
Puig de Comabella,2482,42.317739,1.902115
Tuc de Sendrosa,2482,42.648462,0.946713
Tuc de Montoliet,2477,42.64757,0.753421
Turó del Greixar,2477,42.493456,1.68828
Racó Roi,2477,42.62831,1.29899
Pica Palomèra,2477,42.796715,0.856038
Tuc dera Escaleta,2475,42.69079,0.676498
Rocs Blancs de Fontnegra,2475,42.400453,2.169127
Tuc des Crabes,2475,42.803313,0.853939
Roca de Coll Major,2475,42.451302,0.852042
la Roca Grossa,2474,42.197269,0.769714
Roca Grossa,2474,42.372217,1.137186
Pic de Planamorrons,2474,42.543082,0.774538
Cap de Vaquèira,2469,42.691924,0.974224
Bony de les Agudes,2468,42.59232,1.026961
Puig Terrers,2465,42.282495,1.738123
Costabona,2464,42.416924,2.343871
Fitero,2464,42.472028,0.955655
Cap de la Pala de Montferri,2462,42.434511,0.935564
Tuc de Saumet,2462,42.708313,0.980822
Pic de Muntanyol,2458,42.755723,1.128011
Tuc Blanc de Parros,2456,42.755139,0.92688
Roques Blanques,2456,42.545349,0.814671
Cim de la Dou,2456,42.368752,2.132564
les Roques Blanques,2456,42.278726,2.339109
Tuc de la Cima,2456,42.663964,1.213972
Turó del Clot de l'Olla,2456,42.605448,1.388262
Pic del Cabirol,2456,42.28499,1.701007
Roc de la Trona,2454,42.285772,1.674902
Pic del Muntanyó,2453,42.654645,1.034251
Roca del Viladre,2452,42.289099,1.599448
Bony de la Carma,2448,42.5753,0.825505
Pic de Sarredo,2448,42.673635,1.125437
Cap de Gelada,2448,42.521609,0.765099
lo Bony,2446,42.45976,1.237375
el Bony,2446,42.425644,1.028284
Tossal de les Roies de Cardet,2445,42.518598,0.765365
Tuc de la Cometa,2444,42.423736,1.033072
Pollegó Inferior,2444,42.235651,1.707025
el Cap de Comials,2440,42.656626,1.022769
Cap de la Pala del Tésol,2438,42.61477,1.040078
Torreta de l'Orri,2437,42.408192,1.215147
Cap de la Costa Verda,2436,42.28528,1.568835
Penyes Negres,2435,42.641679,1.187787
Tuc d'Ermèr,2432,42.805834,0.838614
Roca Plana,2432,40.99777,0.401485
Tuc dera Coma d'Auran,2428,42.76247,0.834538
Bony dels Estanyets de Colieto,2423,42.601691,0.895225
Pic de l'Àliga,2422,42.312804,0.761549
Cim de la Canal Mala,2421,42.388179,2.266977
Cap dels Curols,2417,42.672626,1.123246
Cap des Clòsos,2417,42.747556,0.93334
Bony d'Altars,2416,42.444473,1.017249
Roca de Colom,2414,42.481705,1.81922
Puig de la Mena,2413,42.317318,1.888337
Teso dera Mina,2412,42.68227,0.977773
Turó de la Ribera,2411,42.647488,1.29637
Puigllançada,2409,42.300483,1.935511
Puig d'Alp,2406,42.3219,1.906873
Bony de Trescul,2405,42.497967,1.399095
Escales de Pallars,2403,42.624407,1.299389
Cap del Serrat Gran,2402,42.310755,1.910184
Roca Verda,2399,42.286512,1.660296
Cap deth Malh de Cristalh,2399,42.82703,0.85099
Roca Verdà,2399,42.34962,1.177409
Roca del Port,2398,42.452684,0.870601
Cap de Coma Llobatera,2397,42.424924,1.037764
Bony de la Costa,2396,42.497227,1.407437
Tuc de Guilhèm,2393,42.75625,0.800197
Poi d'Estanho,2390,42.659294,0.815259
Cap del Ras de la Font Negra,2390,42.495992,1.327042
Roca del Mig,2388,42.290651,1.6101
Pedró dels Quatre Batlles,2386,42.18475,1.520875
Eth Tuc de Casa,2385,42.635584,0.769073
Cap de la Fesa,2382,42.282021,1.555289
Roca del Gònec,2382,42.29072,1.59137
Pala Portell,2381,42.505323,1.016763
Tossa Pelada,2379,42.19066,1.522457
Cap de Bedreda,2374,42.803631,0.837333
Roca de Coma-sarrera,2374,42.403018,1.217129
Puig dels Lladres,2374,42.423073,2.259265
Cap de Cabristà,2372,42.422767,1.039581
Tuc de Pèdescauç,2371,42.74798,0.945898
Cap d'Ermèr,2368,42.808394,0.83921
Bony de l'Orri,2363,42.596192,0.848412
Puig de Pastuira,2353,42.387292,2.27192
Tuc des Hemnes,2351,42.649008,0.79027
Tuc de Cauilha,2351,42.788551,0.80019
Roc de l'Espurga,2349,42.49244,1.334243
el Vulturó,2348,42.179605,1.522036
Roca de l'Ordiguer,2346,42.287544,1.656902
Ròca de Tolosa,2345,42.677418,0.722237
Roca Dreta,2343,42.382274,1.600926
Montanha d'Uishèra,2339,42.765633,0.73278
Punta Alta,2339,41.295605,0.673732
Tossal d'Estivella,2338,42.193383,1.540221
Pic de Llurri,2338,42.695288,1.328147
Tuc de Costarjàs,2337,42.736163,0.935709
Barracomica,2334,42.791956,0.767252
el Pilaret del Gespal,2332,42.467668,0.824529
la Gespeguera,2332,42.175134,1.504415
Puig de la Canal Freda,2331,42.31726,1.883314
Tuc des Bandolèrs,2331,42.772221,0.988953
Bony Moscater,2329,42.490636,1.39327
Causes,2329,42.699314,1.249793
Roc de Puigcerdà,2328,42.430158,1.73339
Roc del Llamp,2328,42.29255,1.743441
Cap des Cròdos,2328,42.750078,0.809836
Tudela,2327,42.604424,1.29513
Malh de Matotano,2326,42.671558,0.735973
Pic de la Pala de Ginebrell,2323,42.473252,0.859478
Malh Agut,2322,42.788267,0.787338
Cap de la Gallina Pelada,2321,42.189416,1.73805
Roc dels Eugassers,2317,42.401482,2.138845
Miranda de la Costa Blava,2316,42.691238,1.21955
Puig del Pradell de la Font Molsa,2314,42.326616,1.898975
Pic de la Tartera,2309,42.457242,0.814699
Bony d'Arquer,2306,42.488982,1.076633
Cap del Verdet,2303,42.244828,1.697517
Tossal de la Pala Gran,2303,42.428556,0.933899
Cap de Crabèra,2300,42.729532,0.891065
Tossal de l'Amorriador,2298,42.425711,1.738475
la Creu de Ferro,2296,42.181724,1.769396
Pic Carbonero,2296,42.554102,1.069287
Tossal de l'Orri,2293,42.499018,0.75191
Roc de la Barbera,2291,42.434507,1.570258
la Geperuda,2290,42.302689,1.942292
lo Calbo,2290,42.598547,1.179506
els Cantons Rois,2286,42.435279,0.907395
Tuc de Sacauva,2285,42.765764,0.740341
Cap del Verd,2284,42.200833,1.613694
lo Caubo,2284,42.63633,1.223397
Bony Cremat,2281,42.555627,0.909357
Serrat Voltor,2281,42.188136,1.777022
Tuc de Daugèr,2280,42.789918,0.793111
Bony de la Mina,2279,42.746264,1.059154
Rovinets,2279,42.668839,1.334299
Penyes Altes de Moixeró,2276,42.306291,1.842475
Bony de la Socarrada,2275,42.420221,1.227155
Montpius,2274,42.690769,0.741598
Montcorbau,2267,42.761898,0.817705
Trencacalders,2266,42.659569,1.220881
Cap de la Socarrada,2266,42.541551,1.088197
Tuc de Lia,2264,42.799438,0.823747
Tuc de Cuenques,2263,42.687104,0.741145
Tuc deth Miei,2257,42.739334,0.949348
la Pinosa,2256,42.490181,1.380165
Tossal Gros,2255,41.195999,0.336039
Rocs de Canells,2253,42.29928,1.90906
Cap dera Cometa des Calhaus,2253,42.771647,0.916074
Pui de Boet,2252,42.615609,1.382684
Cap de Prat d'Aubes,2252,42.197881,1.625155
Pui de la Missa,2248,42.592049,1.185935
Bony de Costa Llímpia,2246,42.489667,1.385861
Fontpedrós,2241,42.427478,1.566273
Cap d'Urdet,2240,42.196614,1.640468
l'Atalaiador,2237,42.362214,2.207241
Pic de les Pales del Port,2230,42.532328,0.764754
Tossalets del Pla,2229,42.434825,0.925499
Pic de Quartiules,2226,42.594541,1.080812
Pui d'Urdosa,2226,42.471203,1.248318
el Roc Roig,2225,42.381408,2.153429
Roc Roig,2225,42.106399,1.550007
les Pedrusques,2222,42.430605,1.544319
Cap de la Muntanyeta,2222,42.410624,1.044626
Tuc de Poilanèr,2221,42.723291,0.680158
Poi d'Unha,2220,42.722477,0.897704
Pujoblanco,2219,42.666756,0.822673
Bony de l'Ós,2218,42.445842,1.681942
Cap del Pouet,2217,42.433272,0.904471
Montalto,2217,42.467153,1.052683
Puig de les Graves,2217,42.347539,2.222431
Bony de la Basseta,2217,42.456182,0.930279
Roc de l'Ortigar,2215,42.400764,2.144019
la Bòfia,2214,42.143101,1.335217
Puig de les Morreres,2212,42.150965,1.539599
Pradell,2212,42.293312,1.762179
Roquetes Blanques,2209,42.672883,0.852894
Tuc de Meddia,2207,42.674919,0.825756
Bony dels Llorers,2207,42.482463,1.431281
Puig Cerverís,2206,42.337671,2.22282
Cap del Bosc de Burg,2205,42.492199,1.310375
Cap de la Travessa,2203,42.666265,1.119179
Pui Redó,2202,42.415851,0.99173
Paluc,2201,42.414572,1.585077
Cap de Porc,2199,42.402641,2.159134
el Cap de Porc,2199,42.003852,2.897854
lo Tuc,2198,42.662286,1.013146
Cap de les Costes de l'Huguet,2198,42.315338,1.948572
Pilar de la Pala,2198,42.423054,0.93295
el Tuc,2198,42.446681,0.803989
Roca Roia,2197,42.365179,0.760576
Cap de Bosc de Rei,2197,42.584961,1.355972
Cap de la Cana,2195,42.490016,0.754812
Turó de Costa-rèvol,2191,42.410037,1.60602
Tuc de Mieidia,2191,42.701794,0.737633
Ròca dera Entecada,2191,42.723046,0.685419
l'Eixida de Montenartró,2185,42.417221,1.245227
Cap deth Tiron,2184,42.794576,0.800221
els Bonys,2183,42.463809,1.282787
